mark,model,generation_name,year,mileage,vol_engine,fuel,price
audi,a3,gen-8p-2003-2012,2004,258000,1968,Diesel,17500
audi,a3,gen-8p-2003-2012,2010,202000,1968,Diesel,34900
audi,a3,gen-8p-2003-2012,2008,271835,1968,Diesel,19999
audi,a3,gen-8p-2003-2012,2005,194000,1595,Gasoline,14900
audi,a3,gen-8p-2003-2012,2008,148000,1390,Gasoline,25400
audi,a3,gen-8p-2003-2012,2007,264000,1595,LPG,17900
audi,a3,gen-8p-2003-2012,2010,159000,1595,Gasoline,37700
audi,a3,gen-8p-2003-2012,2003,441300,1968,Diesel,8300
audi,a3,gen-8p-2003-2012,2012,208870,1968,Diesel,29900
audi,a3,gen-8p-2003-2012,2005,260000,1968,Diesel,16500
audi,a3,gen-8p-2003-2012,2006,267000,1595,LPG,19000
audi,a3,gen-8p-2003-2012,2003,328941,1984,Gasoline,12500
audi,a3,gen-8p-2003-2012,2008,212000,2000,Diesel,22900
audi,a3,gen-8p-2003-2012,2011,61772,1197,Gasoline,38000
audi,a3,gen-8p-2003-2012,2008,269000,1968,Diesel,25500
audi,a3,gen-8p-2003-2012,2006,246206,1984,Gasoline,25000
audi,a3,gen-8p-2003-2012,2008,203000,1798,Gasoline,19900
audi,a3,gen-8p-2003-2012,2008,231863,1968,Diesel,26999
audi,a3,gen-8p-2003-2012,2011,255578,1598,Diesel,29800
audi,a3,gen-8p-2003-2012,2006,280000,1968,Diesel,27900
audi,a3,gen-8p-2003-2012,2004,230000,1595,Gasoline,12400
audi,a3,gen-8p-2003-2012,2009,182300,1968,Diesel,31500
audi,a3,gen-8p-2003-2012,2009,229000,1900,Diesel,26900
audi,a3,gen-8p-2003-2012,2010,309000,1968,Diesel,29900
audi,a3,gen-8p-2003-2012,2008,223943,1968,Diesel,15300
audi,a3,gen-8p-2003-2012,2009,131010,1984,Gasoline,35900
audi,a3,gen-8p-2003-2012,2004,198700,1968,Diesel,14760
audi,a3,gen-8p-2003-2012,2008,250000,2000,Diesel,26300
audi,a3,gen-8p-2003-2012,2007,283000,1968,Diesel,17900
audi,a3,gen-8p-2003-2012,2012,139678,1197,Gasoline,32900
audi,a3,gen-8p-2003-2012,2004,255100,3189,Gasoline,12500
audi,a3,gen-8p-2003-2012,2012,167033,1984,Gasoline,47000
audi,a3,gen-8p-2003-2012,2009,193036,1598,Diesel,24900
audi,a3,gen-8p-2003-2012,2011,124387,1197,Gasoline,25500
audi,a3,gen-8p-2003-2012,2011,248000,1598,Diesel,28999
audi,a3,gen-8p-2003-2012,2007,264532,1798,Gasoline,15800
audi,a3,gen-8p-2003-2012,2007,178000,1595,Gasoline,15999
audi,a3,gen-8p-2003-2012,2005,159632,1598,Gasoline,15900
audi,a3,gen-8p-2003-2012,2011,228000,1968,Diesel,35900
audi,a3,gen-8p-2003-2012,2009,237000,1595,Gasoline,25500
audi,a3,gen-8p-2003-2012,2003,215000,1984,Gasoline,11999
audi,a3,gen-8p-2003-2012,2010,89000,1390,Gasoline,40900
